79093 20305
1256 2691332 1976322
1257 2691224 1976214
1258 2691196 1976186
1259 2691189 1976179
1260 2690937 1975927
1261 2689517 1974507
1262 2689769 1974759
1263 2689925 1974915
1264 2690113 1975103
1265 2690725 1975715
1266 2689933 1974923
1267 2688889 1973879
1268 2689093 1974083
1269 2688049 1973039
1270 2687281 1972271
1271 2687137 1972127
1272 2686237 1971227
1273 2686399 1971389
1274 2685427 1970417
1275 2687977 1972967
1276 2690629 1975619
1277 2687869 1972859
1278 2688529 1973519
1279 2687209 1972199
1280 2689351 1974341
1281 2688187 1973177
1282 2685175 1970165
1283 2682811 1967801
1284 2682790 1967780
1285 2682868 1967858
1286 2682468 1967458
1287 2682532 1967522
1288 2682618 1967608
1289 2682726 1967716
1290 2689009 1973999
1291 2687953 1972943
1292 2684089 1969079
1293 2692657 1977647
1294 2693905 1978895
1295 2694397 1979387
1296 2694769 1979759
1297 2694925 1979915
1298 2695165 1980155
1299 2761233 1685048
1300 2760833 1685448
1301 2735497 1710784
1302 2735249 1711032
1303 2735177 1711104
1304 2605839 1862428
1305 2604895 1863372
1306 2602699 1865568
1307 2602159 1866108
1308 2596451 1871816
1309 2589499 1878768
1310 2583231 1885036
1311 2580615 1887652
1312 2573935 1894332
1313 2568075 1900192
1314 2566359 1901908
1315 2563711 1904556
1316 2561015 1907252
1317 2557967 1910300
1318 2557779 1910488
1319 2553879 1914388
1320 2553015 1915252
1321 2551947 1916320
1322 2548083 1920184
1323 2545155 1923112
1324 2542023 1926244
1325 2539783 1928484
1326 2535871 1932396
1327 2526343 1941924
1328 2525179 1943088
1329 2508947 1937334
1330 2508411 1937870
1331 2602246 2099008
1332 2602011 2098773
1333 2600375 2097137
1334 2600044 2096806
1335 2589009 2085771
1336 2588409 2085171
1337 2587733 2084495
1338 2587023 2083785
1339 2585252 2082014
1340 2581408 2078170
1341 2572183 2068945
1342 2559075 2055837
1343 2558288 2055050
1344 2557664 2054426
1345 2550853 2047615
1346 2549980 2046742
1347 2547672 2044434
1348 2543376 2040138
1349 2522818 2043034
1350 2523310 2043526
1351 2524522 2044738
1352 2523882 2045818
1353 2523018 2046602
1354 2523198 2046782
1355 2523702 2047286
1356 2523821 2047490
1357 2510665 2055187
1358 2509337 2056515
1359 1870354 2575816
1360 1870858 2575312
1361 1942868 2503302
1362 1943320 2502850
1363 1954128 2492042
1364 1953476 2492694
1365 1951568 2494602
1366 1951252 2494918
1367 1950000 2496170
